4706 RA;1
3201 VB;5
1171 CG;65
4700 GG;1
2271 AM;74
1023 BX;-526 5
4800 CE;2224
4587 LG;75 J
8081 HL;21
6541 CZ;100
3905 NV;36
8321 BV;38
3255 LL;1a
5446 AM;19
6852 HV;122
5026 RJ;12
1504 AH;30
8651 CV;16
9723 JP;10
3905 KX;10
3812 RB;1
8475 EG;26
1333 HJ;100
1817 BA;30
1101 AK;3-5
2132 VX;5-15
7141 CS;26
2632 BA;6
1185 XW;61
2132 PZ;28
2253 JK;246E
3247 XX;2
6603 CG;779
3208 KJ;23
3247 CL;27
1852 AP;226
6644 ZG;2
8304 AH;18
7007 CD;30
3201 LL;2
3201 LL;2
5431 ND;4
3905 KZ;
7006 RA;5
1033 RH;55
6902 PB;1
3247 LK;14
3237 MH;-Oost8
3299 XG;1
1815 CC;18-20
7327 AZ;1
1508 EV;374-
1742 LE;329
3905 KZ;46
3905 LX;280
6744 WL;26
8275 AB;51
8223 EE;25
1544 AB;15
1507 CB;9
1501 NN;10
7151 HT;3
3235 XG;22
3902 HR;12
3247 XX;4
4251 NZ;1
7418 EH;7
1822 BE;10
1501 NN;6
3262 XB;25
1742 LE;325
3851 SB;27
3851 KA;25
3852 AG;124
1742 LE;325
6744 WZ;13
3903 LM;33
3247 XD;1
6905 AE;28
8223 EG;24
9721 BK;36
3862 KG;86
3881 SK;90/1
3841 GD;7 A
8041 AD;8
1185 ZW;28
8242 BA;1 02
1314 AK;1202-
6971 GX;10
3905 MH;2
7399 AD;4
8315 PE;8-1
1713 GL;43
7434 PB;128
1767 CW;2
8447 SL;53
3902 HS;4
3785 LH;5
6732 AD;227
7442 DR;13
3267 CA;9
3454 PX;6
3851 BD;14
6545 AB;95
4424 BE;1
8072 PD;70
1704 RA;16
3905 KV;39
6611 AA;9
7202 CA;75
1823 CR;30
7615 NA;175
7556 BS;10
2516 BP;89
3256 AR;90
8051 SX;1
2593 SL;7
8471 RK;2
1742 LE;325
3247 CL;69
1742 LE;325
1852 RD;44
2071 EV;3
6988 BT;2
3200 AL;481
3851 BB;40
1822 BT;36-40
7207 BP;27
1822 BZ;82
1175 KM;109
7553 GP;27
1521 PT;214
3251 ND;31
3251 ND;12
6603 BV;220
3208 LJ;1
3209 BK;3
4254 XP;30
1704 SH;18
1742 PD;8
3247 CL;25
1713 HD;111
6604 LA;1003
3075 RL;68
9301 EG;37
1702 PC;32
3201 AV;5
9792 TC;11
3812 PL;83
3800 AJ;353
3851 SM;3
1742 NB;9
7324 AJ;11
1112 AW;71-73
3241 ME;12
8275 AP;28
9700 AZ;956
5433 NL;
7202 BZ;
3542 AB;512
5916 PH;9-11
3862 ED;129
3771 MB;36
6534 AR;150
3902 HN;45
3902 HN;49
3721 TK;80
3902 HN;45
6136 GV;116
9723 JA;35
3208 KB;4
1332 BC;17
6136 XA;61
6130 AR;140
7602 PR;1
6745 XM;8
6828 KE;74
7336 AK;79
3201 LT;13
3902 HP;9
3903 LP;
1046 AC;29
1742 NG;2
5359 AV;-Oost28B
2652 DT;9
9723 HP;4
5061 KB;12
6603 BW;14
1096 BR;1-4
5626 DK;7
1042 AA;8
6971 LC;14
6961 EB;39
1076 CW;122
3905 LV;-West242
3255 MC;14
9713 ZC;52
3247 XX;4
3208 LJ;2
1742 LE;329
4131 PM;1
1508 EB;9-
2611 AL;30
6596 DP;12
1742 PD;14
3841 KE;3
4451 HS;1
9723 BK;135
3241 KD;1
6611 KH;9
9231 DB;7
3201 AB;42
6611 KE;28
8938 AE;6
1181 DT;6
6651 KR;9
2628 AS;266a
5349 AK;-Zuid91
7327 AC;20
7300 AB;81
2628 AT;274
8501 XH;6
6545 AB;97
3905 KZ;45
6582 BB;61
1742 NX;171
1432 CN;253
1505 HK;4
3439 ME;13
1505 HK;4F
1411 AW;1
2722 NK;406
3903 KE;51
7418 EC;2
7418 BH;16
6041 TA;3
3255 BL;2
3208 KB;5
1812 PS;342
1101 AV;36
3439 ME;11
6716 BX;4
1812 PJ;3-5
1822 BJ;10
1271 ED;6
1117 ZR;75123
5503 LM;4245
3927 AB;15
3853 LS;26-28
7461 JC;3
8251 JS;19-21
6831 AJ;42
7312 EN;3
7345 DK;5
3707 HW;19
4538 AT;5
7315 GB;21
3209 BK;34
5281 RM;1
1742 LD;306
2106 CN;4
1426 AH;97
3245 KG;113
7336 AG;60
6629 AH;6
1508 EK;18
1842 GS;45
6661 TD;70
1934 PA;12
3247 LB;9
1504 AK;82
3214 CL;2
2316 JW;2
2718 SM;45
3905 NA;19
3843 GB;77
9883 PD;37
1812 NB;44
3905 JC;177
9627 PB;75
3771 CK;70 A
3234 KG;1
4251 LP;17
9626 AD;181
1432 CM;239 G
8924 CZ;7
9203 ED;228
1976 BE;15
1191 KK;23
7140 AA;
8855 XE;10
2102 LK;25
4131 PL;1
3203 XH;64
1391 JH;49
6534 AD;13
6584 AJ;100
1566 PG;14
5248 JT;65
7324 AB;29
3194 AL;3
3237 ME;-zuid8
1746 CL;11-13
3990 GJ;
8013 NA;7
7554 NG;65
7550 AD;
7333 PE;
3812 SZ;15
3812 SZ;15
1431 GZ;5
1069 CD;9
1766 GD;21
3705 MA;15
2612 KK;50
3208 LC;10
3233 LD;18
5281 LJ;27
3903 LL;9F
6603 CR;946
1822 BS;14-16
3248 BD;1
8239 DD;31
5431 NS;1
6862 VS;57
3201 LT;13
1821 BK;2
2332 EE;2-4
2352 CK;9
3201 LT;1
7642 AH;82
1101 AV;74
6741 PA;24 B
7045 BC;11
2132 VX;6
2132 WS;12
7007 CM;7
1100 AB;70
7327 AW;13
8081 GR;43
3903 LA;34
7483 PC;27
9723 EV;20
2805 AA;17
5344 AK;29
1814 KH;148/150
6161 BZ;360
2611 SH;10
3905 LS;190
1506 PW;7
1411 AS;33
1822 BA;7
1704 RA;1
5375 KW;2
3992 DB;6
1902 CE;1
3201 VN;3
1742 PC;11
2491 BA;34-36
7151 NS;84
2211 TL;56
8013 PK;10-12
4900 AC;138
2111 GN;9
7622 JW;56
3247 CL;17
3220 BD;1165
3237 KC;2
7324 BA;40
3543 AC;53
1742 PC;11
1101 GG;111
7207 BT;5
6851 EH;37
6546 AS;11-18
3247 BH;59-61-63
1812 RJ;14
3208 KJ;13
1171 DA;33
1030 AB;15
2332 AA;45
2405 XX;25
3903 LH;7
3833 BP;2
3209 BK;32
3235 XK;6
1422 AL;5-7
1422 AC;13b
1303 AE;30247
1303 AE;30247
1303 AE;30247
1303 AE;30247
1303 AE;30247
1329 BP;51
2491 DL;1
2024 CH;325
1822 BJ;6-8
3232 LN;45
6603 BL;190
8445 PK;1
3244 BH;30
8465 SB;11
1506 RA;6
3846 AV;1167
3225 LD;28
3771 AH;31A
2111 VR;15
3201 LE;2
7322 AD;200
3253 AE;32
4941 ED;75
7300 AP;618
1216 SK;2
1185 XX;84
6827 BT;12
2627 GB;2
8448 CM;4
9207 HC;8
6666 ML;3
6827 BJ;13
6851 EJ;
6921 RZ;9
1216 BJ;23
3812 RG;1
3905 KW;2
6101 XB;5
6433 PL;32
1324 KV;6-8
8223 EC;21
8253 PL;56
7005 AG;120
7442 DA;8
9723 BK;123
2102 LL;24
2331 BB;6
2718 ST;115
4301 ND;46
4695 RC;8
7102 EZ;50
7151 HD;2
3194 AK;12
3198 LS;175
4782 PZ;12
1812 PS;328
1948 RC;5
1822 BW;1
3771 MA;69
3851 GA;37
8471 XL;2
3905 AZ;1
