ROFFEL TRANSPORT;NORGERWEG 62;8433LP;HAULERWIJK
RONNIE AALDERS;ZEVENHUISTERWEG 36;9311VC;NIEUW RODEN
H. AALDERS;TURFWEG 5;9313TH;LEUTINGEWOLDE
D. ABBAS INT, TRANSPORT;H. SCHWERTMANNWEG 38;9684BB;FINSTERWOLDE
ABELS VOF INT.TRANSPORT;C. EBERHARDSTRAAT 14;9693BJ;NIEUWESCHANS
AST EMMEN;ZUIDBARGERSTRAAT 82;7812AJ;EMMEN
H. VAN ACHTEREN;J.KAMMINGASTRAAT 93;9648KK;WILDERVANK
AIRCO TECHNIEK GRONINGEN;KATTEGAT 10;9723JP;GRONINGEN
AIRJUMP;DEN HOF 5;5531XH;BLADEL
J. ACHTERHOF INT. TRANSP.;HOOFDWEG 164;9626AK;SCHILDWOLDE
AFE TRANSPORT;GANTELSTRAAT 27;3044AJ;ROTTERDAM
OMRIN;DE DOLTEN 11;8465SB;OUDEHASKE
AMERONGEN TRANSPORT;ANSJOVISWEG 9;3751BL;BUNSCHOTEN
AMG AUTOMATERIALEN;MOLENVLIET 13;3335LH;ZWIJNDRECHT
VAN AMMERS TRANSPORTEN BV;DE VOLGER 35;1483GA;DE RIJP
ASJES BV;BERENKOOG 27;1822BH;ALKMAAR
ALFING BV;WATRUMERWEG 12;9948PW;TERMUNTENZIJL
GEBR. ALGRA B.V.;HUCHTEN 1;9222LP;DRACHTSTERCOMPAGNIE
AGRI SERVICE ODOORN BV;ACHTERWEG 1 A;7874TL;ODOORNERVEEN
J. VD SLUIS ZWAAGDIJK BV;MARKTWEG 11;1681NM;ZWAAGDIJK-OOST
AGRON KERP B.V.;IN DE CRAMER 31;6411RS;HEERLEN
PETER AHRENS TRANSPORT;DE GELDERSMAN 17;1274HH;HUIZEN
AGPRO b.v.;TRANSPORTWEG 2 B;8304AX;EMMELOORD
J.K. AKKERMAN;GDANSKWEG 2;9723TR;GRONINGEN
A. AKKERMAN;KONINGSWEG 16;9731AT;GRONINGEN
ALBERS ZEILMAKERIJ BV;STEPHENSONSTRAAT 82;7903AW;HOOGEVEEN
ARIE ALBERTS;HOOFDWEG 109;9617AC;HARKSTEDE
ALLERS BEDRIJFSWAGENS VENLO BV;TASMANWEG 1;5928LH;VENLO
ALDI DRACHTEN BV;HET HELMHOUT 1;9206AZ;DRACHTEN
T & H ALGERA TRANSPORT;GREFTSWAL 28;9036LN;MENALDUM
ALRAF BV;NOMDENWEG 3;9561AM;TER APEL
ALSEMA E&B B.V.;HAVENSTRAAT 26;9471AM;ZUIDLAREN
ATTEMA SEASERVICE;OOSTERSTRAAT 2;8748AX;WITMARSUM
A.T.T.S TEXEL BV;SCHILDERWEG 261a;1792CJ;OUDESCHILD
ATES;HOOFDWEG 28;9628CP;SIDDEBUREN
ALL-IN CONTAINERS BV;LELYWEG 4;7602EA;ALMELO
A.M. TRANSPORT V.O.F.;IT ROER 5;9035VR;DRONRIJP
AMBROSIUS TRANSPORT;INDUSTRIEWEG 41;7903AJ;HOOGEVEEN
FA. S. AMSTERDAM;BALKEPOLLE 9;8713LE;HINDELOOPEN
ANEMA TRUCKS;BOEKELERDIJK 15A;1812LV;ALKMAAR
ANDERSON TRANSPORT;ZANDVOORTSTRAAT 71;1976BN;IJMUIDEN
APG TRANSPORT&KARTHANDEL;GREVELING 83;9654PN;ANNERVEENSCHEKANAAL
