99-101;1057 DZ
71;1078 HE
1;1171 EA
7-13;1761 BT
2;2902 BW
2;2902 BW
2;2905 AX
10;3067 AC
1;3068 JN
91;3071 JP
153;3079 EW
78;3082 KC
18;3136 CN
424;3137 XB
112;3245 MC
1;3247 BA
91 A;3311 JG
9;3311 LP
6;3312 GP
6;3312 GP
110;3315 KG
197/A;3315 WK
3;3343 RE
25;3351 JM
54;4205 CJ
31;4336 ED
18;4337 JH
88;4536 GD
2A;4624 GS
2A;4624 GS
2A;4624 GS
2A;4624 GS
3;4651 AN
43;4791 HT
306;4835 NL
13D;4851 CP
110;5071 BJ
88;5461 KS
20;5701 ZZ
2-4;6222 VE
20;6511 CJ
37;6602 DB
37;6602 DB
1;6922 JA
72;7201 NS
72;7201 NS
72;7201 NS
72;7201 NS
16;7232 CX
24-A;7251 DK
33 A;7437 RP
82;7442 ZE
204;7557 GC
1-3;7581 AR
144;7812 MH
1;7815 LB
80;7824 BL
77;7827 JR
176;7881 JL
160-B;7891 AJ
160-B;7891 AJ
18;8091 KS
36A;8331 GK
36A;8331 GK
4;8502 BX
1;9351 GJ
1;9501 WL
2;9502 WL
161;9603 AE
